country,year,education,fdi,gdp_growth,gdp_pc,log_gdp_pc,industry,inflation,trade,unemployment,urban,palma_ratio,va_score,cc_score,ge_score
LKA,2012,94.6744689941406,1.3359173422599,8.63218137662685,3484.79049033884,8.15616320383766,30.9698538096371,7.54291373239437,49.42552388546,3.88,18.2617686748284,4.464220183486239,46.07,41.65,47.96
LKA,2013,95.1442636196356,1.21148000445532,4.05174633027869,3728.93586647848,8.223878181446445,30.7956807273264,6.90845034828452,71.2611784883009,4.186,18.4323136480916,4.442622950819673,45.36,41.57,48.55
LKA,2014,93.4926277980089,1.08277813761066,6.3779788972687,3929.92062032185,8.27637450626793,30.5178954294297,3.1790022823606,46.4715370252187,4.157,18.6153877203724,4.392985611510792,44.69,38.74,54.06
LKA,2015,94.4516928962286,0.798746315198801,4.20595547449241,4057.7158346231,8.308375491966133,29.5354178735039,3.76836783062096,46.9179708088816,4.519,18.796256612131,4.312444836716681,50.08,40.95,53.09
LKA,2016,93.9037221276375,1.01937184461335,5.05362488994436,4214.74117992085,8.346343464024132,30.4827177292135,3.9588884659307,46.4715370252187,4.242,18.9747679368162,4.304042179261863,52.43,42.77,50.62
LKA,2017,94.0418660922689,1.45462805347273,6.46068127065753,4436.00789945768,8.397510129230097,31.1282786464433,7.70413767850602,47.1404098004644,4.046,19.1507693078088,4.307827616534741,52.67,41.62,49.98
LKA,2018,95.9107331693991,1.70888696252001,2.31008425545845,4493.03575444544,8.410283866849634,30.0568195254141,2.135037737132,49.8093967521361,4.318,19.3241083384127,4.307827616534741,53.59,43.71,49.44
LKA,2019,95.1442636196356,0.835367459152173,-0.220483886831275,4455.78189608267,8.401957834287735,29.1910098710383,3.52839358231811,49.42552388546,4.67,19.4946326418437,4.307827616534741,53.66,44.54,49.95
LKA,2020,95.9107331693991,0.514700552667608,-4.62451503749502,4227.23315306594,8.349302957092942,28.235832875126,6.15394508391738,37.089118857292,5.364,19.6621898312161,4.307827616534741,54.09,42.27,49.13
LKA,2021,89.8339685558794,0.66882570941316,4.2074764951157,4357.97225779491,8.37976214967313,29.9540097663376,7.01478071238195,41.2288463291999,4.981,19.8266275195269,4.307827616534741,52.33,41.04,46.76
LKA,2022,88.1918156520303,1.19249322228342,-7.34919301306745,4033.14561476298,8.302301900039318,29.8058315790625,49.7211021114327,46.6826080196819,4.528,19.9877933196367,4.307827616534741,50.48,40.7,41.54
LKA,2023,87.9534065332114,0.851705946554554,-2.3298481898334,3964.91987394354,8.285240925527694,25.7826769471156,16.5411742279832,43.5362302960951,4.528,20.1455348442463,4.307827616534741,50.27,40.02,45.81
LKA,2024,95.1442636196356,0.769118881748846,5.00871930957159,4186.4986638365,8.339620022484397,25.5288051289463,-0.42936004906973,42.3975008711047,4.239,20.2996997058686,4.307827616534741,54.64,40.07,46.0
